ISO 639-1,ISO 639-3,Language Name
aa,aar,Afar
ab,abk,Abkhazian
af,afr,Afrikaans
ak,aka,Akan
am,amh,Amharic
ar,ara,Arabic
an,arg,Aragonese
as,asm,Assamese
av,ava,Avaric
ae,ave,Avestan
ay,aym,Aymara
az,aze,Azerbaijani
ba,bak,Bashkir
bm,bam,Bambara
be,bel,Belarusian
bn,ben,Bengali
bi,bis,Bislama
bo,bod,Tibetan
bs,bos,Bosnian
br,bre,Breton
bg,bul,Bulgarian
ca,cat,Catalan
cs,ces,Czech
ch,cha,Chamorro
ce,che,Chechen
cu,chu,Church Slavic
cv,chv,Chuvash
kw,cor,Cornish
co,cos,Corsican
cr,cre,Cree
cy,cym,Welsh
da,dan,Danish
de,deu,German
dv,div,Dhivehi
dz,dzo,Dzongkha
el,ell,Modern Greek (1453-)
en,eng,English
eo,epo,Esperanto
et,est,Estonian
eu,eus,Basque
ee,ewe,Ewe
fo,fao,Faroese
fa,fas,Persian
fj,fij,Fijian
fi,fin,Finnish
fr,fra,French
fy,fry,Western Frisian
ff,ful,Fulah
gd,gla,Scottish Gaelic
ga,gle,Irish
gl,glg,Galician
gv,glv,Manx
gn,grn,Guarani
gu,guj,Gujarati
ht,hat,Haitian
ha,hau,Hausa
sh,hbs,Serbo-Croatian
he,heb,Hebrew
hz,her,Herero
hi,hin,Hindi
ho,hmo,Hiri Motu
hr,hrv,Croatian
hu,hun,Hungarian
hy,hye,Armenian
ig,ibo,Igbo
io,ido,Ido
ii,iii,Sichuan Yi
iu,iku,Inuktitut
ie,ile,Interlingue
ia,ina,Interlingua (International Auxiliary Language Association)
id,ind,Indonesian
ik,ipk,Inupiaq
is,isl,Icelandic
it,ita,Italian
jv,jav,Javanese
ja,jpn,Japanese
kl,kal,Kalaallisut
kn,kan,Kannada
ks,kas,Kashmiri
ka,kat,Georgian
kr,kau,Kanuri
kk,kaz,Kazakh
km,khm,Central Khmer
ki,kik,Kikuyu
rw,kin,Kinyarwanda
ky,kir,Kirghiz
kv,kom,Komi
kg,kon,Kongo
ko,kor,Korean
kj,kua,Kuanyama
ku,kur,Kurdish
lo,lao,Lao
la,lat,Latin
lv,lav,Latvian
li,lim,Limburgan
ln,lin,Lingala
lt,lit,Lithuanian
lb,ltz,Luxembourgish
lu,lub,Luba-Katanga
lg,lug,Ganda
mh,mah,Marshallese
ml,mal,Malayalam
mr,mar,Marathi
mk,mkd,Macedonian
mg,mlg,Malagasy
mt,mlt,Maltese
mn,mon,Mongolian
mi,mri,Maori
ms,msa,Malay (macrolanguage)
my,mya,Burmese
na,nau,Nauru
nv,nav,Navajo
nr,nbl,South Ndebele
nd,nde,North Ndebele
ng,ndo,Ndonga
ne,nep,Nepali (macrolanguage)
nl,nld,Dutch
nn,nno,Norwegian Nynorsk
nb,nob,Norwegian Bokmål
no,nor,Norwegian
ny,nya,Nyanja
oc,oci,Occitan (post 1500)
oj,oji,Ojibwa
or,ori,Oriya (macrolanguage)
om,orm,Oromo
os,oss,Ossetian
pa,pan,Panjabi
pi,pli,Pali
pl,pol,Polish
pt,por,Portuguese
ps,pus,Pushto
qu,que,Quechua
rm,roh,Romansh
ro,ron,Romanian
rn,run,Rundi
ru,rus,Russian
sg,sag,Sango
sa,san,Sanskrit
si,sin,Sinhala
sk,slk,Slovak
sl,slv,Slovenian
se,sme,Northern Sami
sm,smo,Samoan
sn,sna,Shona
sd,snd,Sindhi
so,som,Somali
st,sot,Southern Sotho
es,spa,Spanish
sq,sqi,Albanian
sc,srd,Sardinian
sr,srp,Serbian
ss,ssw,Swati
su,sun,Sundanese
sw,swa,Swahili (macrolanguage)
sv,swe,Swedish
ty,tah,Tahitian
ta,tam,Tamil
tt,tat,Tatar
te,tel,Telugu
tg,tgk,Tajik
tl,tgl,Tagalog
th,tha,Thai
ti,tir,Tigrinya
to,ton,Tonga (Tonga Islands)
tn,tsn,Tswana
ts,tso,Tsonga
tk,tuk,Turkmen
tr,tur,Turkish
tw,twi,Twi
ug,uig,Uighur
uk,ukr,Ukrainian
ur,urd,Urdu
uz,uzb,Uzbek
ve,ven,Venda
vi,vie,Vietnamese
vo,vol,Volapük
wa,wln,Walloon
wo,wol,Wolof
xh,xho,Xhosa
yi,yid,Yiddish
yo,yor,Yoruba
za,zha,Zhuang
zh,zho,Chinese
zu,zul,Zulu
